time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609395.338895,-13,9,0,-338,-2207,9306,f
1738609395.342963,14,3,13,-35,4051,7004,f
1738609395.347035,-6,7,5,-204,-348,8961,f
1738609395.35163,6,2,3,-263,1224,7550,f
1738609395.356651,3,9,9,-65,1766,8476,f
1738609395.361672,-2,7,3,-333,-739,8377,f
1738609395.366687,14,7,14,30,4268,7406,f
1738609395.37101,14,4,11,-90,3295,7308,f
1738609395.37602,-7,10,5,-167,-387,9019,f
1738609395.38104,10,1,10,-238,1636,7449,f
1738609395.386065,1,7,11,-56,2053,8283,f
1738609395.391121,14,5,10,47,4142,7387,f
1738609395.3951948,-7,6,1,-277,-1312,8954,f
1738609395.3992682,13,2,9,-158,2989,7208,f
1738609395.4042912,-6,7,8,-135,42,8915,f
1738609395.409313,4,4,4,-284,323,7980,f
1738609395.414335,9,9,15,23,3556,7764,f
1738609395.41937,14,3,10,-68,3378,7421,f
1738609395.424392,-9,6,5,-192,-653,9020,f
1738609395.429415,11,2,7,-217,1744,7494,f
1738609395.43444,0,7,11,-44,2057,8238,f
1738609395.43904,11,6,12,-12,4088,7418,f
1738609395.443125,-7,4,4,-256,-860,8868,f
1738609395.447201,13,2,9,-225,1907,7482,f
1738609395.451233,-5,7,9,-86,1407,8558,f
1738609395.455261,0,1,3,-314,-584,8296,f
1738609395.4593222,11,5,11,-19,3995,7462,f
1738609395.46334,-10,5,1,-304,-1693,9021,f
1738609395.467457,12,3,9,-177,2070,7585,f
1738609395.472477,0,5,9,-43,1863,8394,f
1738609395.477503,2,4,1,-332,-835,8282,f
1738609395.4825191,8,6,11,-52,3266,7659,f
1738609395.487194,15,3,6,-176,2392,7474,f
1738609395.4912598,-1,8,8,-74,1715,8295,f
1738609395.495283,1,4,3,-360,-1413,8527,f
1738609395.500292,9,2,12,2,3887,7513,f
1738609395.505314,-6,5,4,-236,-464,8696,f
1738609395.510335,11,1,7,-239,1093,7744,f
1738609395.5153532,0,5,1,-302,-944,8503,f
1738609395.5194151,13,4,12,-60,3414,7458,f
1738609395.524425,-6,4,4,-203,-219,8768,f
1738609395.52945,8,0,5,-257,384,8039,f
1738609395.5344691,5,9,12,-7,3536,7751,f
1738609395.539176,8,3,9,-156,2100,7734,f
1738609395.54323,-6,9,8,-62,1834,8343,f
1738609395.547295,5,2,3,-332,-936,8332,f
1738609395.552315,6,4,8,-64,2985,7753,f
1738609395.557338,-7,7,4,-202,-236,8688,f
1738609395.562359,11,3,8,-236,883,7887,f
1738609395.567311,-4,6,5,-322,-1401,8695,f
1738609395.571491,10,2,10,-118,2644,7644,f
1738609395.575607,-4,4,8,-118,1503,8279,f
1738609395.580627,3,5,7,-323,-1283,8453,f
1738609395.58565,6,5,12,-27,3497,7647,f
1738609395.590676,-3,5,8,-196,386,8429,f
1738609395.5952919,1,5,10,-28,3365,7830,f
1738609395.6003141,-2,6,5,-254,-410,8493,f
1738609395.605335,8,2,8,-209,1037,7975,f
1738609395.610353,-1,6,10,-71,2583,8024,f
1738609395.615062,7,4,8,-119,2192,7866,f
1738609395.6200802,-3,8,7,-123,1521,8181,f
1738609395.6250932,3,3,6,-265,-504,8367,f
1738609395.630114,7,2,8,-87,2906,7793,f
1738609395.635167,5,1,5,-256,-133,8310,f
1738609395.6392379,6,5,7,-63,3224,7785,f
1738609395.643332,-2,7,9,-246,-143,8420,f
1738609395.648345,6,3,9,-226,264,8231,f
1738609395.6533592,2,6,8,-29,3297,7764,f
1738609395.6583822,0,5,6,-262,-545,8464,f
1738609395.6634429,1,5,7,-37,3195,7790,f
1738609395.667764,0,4,8,-290,-785,8500,f
1738609395.672792,4,3,8,-212,898,8157,f
1738609395.677815,0,6,7,-70,3098,7767,f
1738609395.681969,1,4,7,-314,-910,8519,f
1738609395.687045,-2,3,10,-66,2967,7829,f
1738609395.69119,0,3,3,-284,-899,8510,f
1738609395.6953118,3,1,4,-172,1115,8136,f
1738609395.6997418,-1,5,10,-58,2932,7756,f
1738609395.705913,1,4,9,-279,-858,8482,f
1738609395.711705,4,3,5,-157,1067,8164,f
1738609395.716869,4,3,5,-157,1067,8164,f
1738609395.726922,6,2,6,-177,919,8201,f
1738609395.7311249,4,2,6,-179,715,8260,f
1738609395.7367208,2,4,6,-63,2971,7756,f
1738609395.7409458,0,3,9,-256,-220,8365,f
1738609395.74597,3,2,6,-211,458,8335,f
1738609395.750576,3,3,7,-87,2896,7749,f
1738609395.7552488,4,2,8,-205,169,8408,f
1738609395.759316,2,1,6,-110,2637,7841,f
