time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609331.9545522,19,41,19,-440,-2400,8333,f
1738609331.9596071,3,109,56,-425,-1405,8102,f
1738609331.9638348,0,108,59,-208,-1255,8118,f
1738609331.968182,-1,82,48,89,-873,7982,f
1738609331.986542,-4,34,29,342,-896,7988,f
1738609331.995532,0,-14,4,285,-1375,8151,f
1738609332.0021708,5,-27,0,19,-1415,8111,f
1738609332.007206,5,-27,0,19,-1415,8111,f
1738609332.012247,11,14,15,-328,-2364,8339,f
1738609332.017395,9,57,37,-454,-2314,8320,f
1738609332.02241,5,98,52,-490,-1605,8120,f
1738609332.026769,3,114,60,-354,-1372,8076,f
1738609332.0313878,1,73,38,302,-758,7921,f
1738609332.035499,1,14,8,462,-1120,8024,f
1738609332.039658,6,-23,-5,215,-1467,8100,f
1738609332.043686,6,-21,-9,-37,-1536,8029,f
1738609332.047831,9,5,0,-242,-2075,8217,f
1738609332.052852,11,43,17,-381,-2477,8296,f
1738609332.057878,7,93,40,-479,-1956,8188,f
1738609332.0629,2,128,53,-436,-1431,8034,f
1738609332.0674582,1,103,47,148,-871,7922,f
1738609332.071477,0,51,23,470,-907,7915,f
1738609332.075605,3,1,-3,389,-1380,8082,f
1738609332.079684,7,-10,-11,77,-1492,8058,f
1738609332.083725,6,13,-10,-226,-1768,8068,f
1738609332.087785,5,49,4,-400,-2437,8278,f
1738609332.0928059,0,104,22,-522,-2234,8208,f
1738609332.097827,-9,150,41,-507,-1514,8041,f
1738609332.102839,-10,166,46,-295,-1329,8062,f
1738609332.10748,-11,101,24,435,-779,7819,f
1738609332.1115851,-17,42,-6,479,-1308,8030,f
1738609332.115627,-18,10,-19,148,-1490,8111,f
1738609332.119693,-15,14,-19,-95,-1661,8117,f
1738609332.123714,-6,43,-3,-266,-2281,8301,f
1738609332.128726,-7,94,27,-428,-2307,8265,f
1738609332.133735,-16,149,57,-459,-1594,8021,f
1738609332.1387808,-23,174,74,-279,-1313,7993,f
1738609332.143789,-27,120,60,544,-755,7914,f
1738609332.147876,-26,59,34,623,-1256,8004,f
1738609332.152884,-27,24,14,254,-1501,8079,f
1738609332.157904,-23,31,13,-96,-1661,8138,f
1738609332.162478,-12,65,23,-340,-2256,8320,f
1738609332.167559,3,179,62,-488,-1589,8143,f
1738609332.1716108,10,205,70,-288,-1304,8060,f
1738609332.1766331,24,196,66,74,-930,7939,f
1738609332.1816561,27,149,40,505,-731,7850,f
1738609332.186666,27,83,5,570,-1280,8026,f
1738609332.191703,39,49,-28,-152,-1700,8083,f
1738609332.195735,40,82,-21,-383,-2320,8254,f
1738609332.200748,41,138,-1,-531,-2281,8204,f
1738609332.205069,34,192,22,-441,-1560,7973,f
1738609332.210092,36,211,34,-230,-1262,7922,f
1738609332.2151139,27,193,28,136,-830,7751,f
1738609332.21945,17,61,-31,587,-1452,7985,f
1738609332.223534,15,22,-46,170,-1577,8003,f
1738609332.2277372,16,33,-43,-195,-1901,8074,f
1738609332.231763,22,75,-25,-411,-2485,8307,f
1738609332.2361119,26,135,0,-525,-2144,8206,f
1738609332.2405329,22,188,21,-429,-1497,7988,f
1738609332.2455559,24,201,29,-172,-1220,7920,f
1738609332.25041,31,176,25,339,-811,7758,f
1738609332.255531,31,55,-30,520,-1674,8043,f
1738609332.25964,31,46,-40,16,-1717,7975,f
1738609332.264653,39,81,-32,-354,-2269,8154,f
1738609332.269675,41,139,-8,-551,-2643,8271,f
1738609332.274698,36,213,16,-584,-1948,8016,f
1738609332.279677,25,268,30,67,-986,7752,f
1738609332.283746,17,228,4,545,-707,7684,f
1738609332.2886012,6,156,-39,692,-1413,7908,f
1738609332.293621,-2,108,-65,327,-1581,8004,f
1738609332.298651,-3,113,-71,-121,-1754,8093,f
1738609332.3034549,10,205,-37,-550,-2133,8267,f
1738609332.3076138,13,256,-15,-416,-1366,8053,f
1738609332.312623,15,270,-13,-92,-945,7964,f
1738609332.317633,14,238,-31,404,-534,7878,f
1738609332.322654,13,152,-70,725,-953,7985,f
1738609332.3276658,19,43,-108,-22,-1582,8175,f
1738609332.3317351,29,71,-92,-403,-2198,8352,f
1738609332.3357708,43,128,-62,-604,-2341,8464,f
1738609332.339984,45,186,-30,-559,-1675,8188,f
1738609332.344007,46,222,-9,-208,-1155,8042,f
1738609332.349029,38,211,-13,259,-651,7834,f
1738609332.354055,21,154,-43,663,-812,7886,f
1738609332.359079,12,72,-80,609,-1541,8169,f
1738609332.363591,7,52,-88,-373,-2103,8368,f
1738609332.3679419,16,104,-62,-622,-2524,8507,f
1738609332.37208,15,173,-28,-632,-1738,8274,f
1738609332.3771,7,213,-9,-386,-1215,8083,f
1738609332.382122,-5,206,-15,94,-648,7994,f
1738609332.387136,-14,145,-45,639,-596,8002,f
1738609332.3911822,-17,58,-81,675,-1433,8255,f
1738609332.395772,-13,8,-93,-445,-1985,8424,f
1738609332.4003808,0,57,-60,-707,-2459,8627,f
1738609332.4056342,9,121,-18,-710,-1780,8426,f
1738609332.427043,9,121,-18,-710,-1780,8426,f
1738609332.432329,9,157,11,59,-599,8032,f
1738609332.437202,7,96,-8,663,-530,7988,f
1738609332.442228,3,1,-39,694,-1451,8266,f
1738609332.447254,1,-46,-44,177,-1650,8246,f
1738609332.45152,6,35,8,-696,-2495,8532,f
1738609332.455623,3,104,46,-682,-1828,8245,f
1738609332.460633,-8,146,71,-325,-1171,8045,f
1738609332.465653,-8,129,77,229,-528,7978,f
1738609332.4706728,-7,55,67,792,-461,8006,f
1738609332.475033,-16,-51,48,758,-1382,8342,f
1738609332.4796531,-40,-109,109,-497,-2013,8664,f
1738609332.483735,-47,-57,181,-766,-2324,8850,f
1738609332.487824,-67,6,253,-638,-1544,8523,f
1738609332.491938,-90,24,295,-259,-1001,8362,f
1738609332.4969459,-109,-6,311,359,-386,8167,f
1738609332.5017269,-120,-88,291,889,-702,8281,f
1738609332.506748,-120,-169,257,713,-1633,8540,f
1738609332.511555,-105,-133,239,-564,-2393,8661,f
1738609332.5156102,-85,-31,257,-886,-2381,8671,f
1738609332.5197241,-63,56,266,-703,-1567,8297,f
1738609332.523774,-46,103,259,-178,-916,8081,f
1738609332.5278132,-26,84,215,484,-300,7883,f
1738609332.5318358,-5,14,153,859,-1022,8044,f
1738609332.535904,17,-56,90,460,-1778,8245,f
1738609332.5409138,40,-49,54,-285,-2016,8219,f
1738609332.5459368,62,20,50,-774,-2604,8382,f
1738609332.5509481,77,121,67,-884,-2124,8149,f
1738609332.555826,81,196,58,120,-731,7623,f
1738609332.5608478,81,132,9,821,-519,7584,f
1738609332.5658581,85,28,-56,896,-1668,7888,f
1738609332.570438,85,-26,-92,228,-2036,7936,f
1738609332.575592,80,91,-61,-933,-2703,8176,f
1738609332.579689,73,172,-29,-716,-1764,7877,f
1738609332.583735,59,207,-13,-183,-1100,7691,f
1738609332.5878348,43,169,-23,559,-341,7524,f
1738609332.591938,37,78,-61,1089,-988,7765,f
1738609332.59696,33,-18,-93,749,-1871,8078,f
1738609332.601441,30,-33,-90,-147,-2149,8107,f
1738609332.606456,22,27,-51,-690,-2648,8284,f
1738609332.6115332,-8,168,59,-262,-1123,7858,f
1738609332.6157,-32,148,72,424,-383,7673,f
1738609332.620053,-50,57,53,1148,-343,7808,f
1738609332.625071,-61,-65,19,1100,-1550,8222,f
1738609332.6300921,-72,-124,9,269,-1780,8305,f
1738609332.6351092,-76,-89,33,-531,-2342,8487,f
1738609332.639596,-66,81,125,-459,-1168,8169,f
1738609332.6436942,-63,99,131,223,-414,7950,f
1738609332.6477408,-55,44,78,885,-102,7743,f
1738609332.651809,-41,-42,-13,1024,-1438,7961,f
1738609332.655843,-24,-81,-102,265,-2181,8034,f
1738609332.659976,1,-19,-159,-631,-2760,8133,f
1738609332.664055,30,98,-164,-1019,-2768,8186,f
1738609332.668201,56,210,-147,-827,-1623,7880,f
1738609332.673223,65,249,-144,-182,-852,7685,f
1738609332.6782458,71,211,-159,638,-329,7631,f
1738609332.683258,80,106,-202,1097,-1385,8048,f
1738609332.6876018,61,20,-197,-500,-2540,8411,f
1738609332.692611,45,96,-126,-1140,-2702,8476,f
1738609332.697631,20,178,-45,-883,-1487,8167,f
1738609332.7026482,2,199,-8,-108,-712,8035,f
1738609332.7077498,-42,26,-42,1122,-1191,8030,f
1738609332.7118762,-66,-63,-56,596,-2217,8410,f
1738609332.715958,-85,-68,-29,-444,-2574,8602,f
1738609332.7199738,-87,9,32,-968,-2597,8792,f
1738609332.725014,-74,94,78,-752,-1292,8453,f
1738609332.7300391,-56,118,84,-13,-295,8111,f
1738609332.735053,-38,69,44,868,344,7872,f
1738609332.739821,-8,-126,-37,663,-2144,8632,f
1738609332.744833,-8,-107,-10,-509,-2609,8774,f
1738609332.749843,-3,-17,45,-1058,-2592,8776,f
1738609332.754861,0,82,93,-750,-1108,8300,f
1738609332.759874,9,48,46,1002,411,7624,f
1738609332.764789,8,-70,-14,1331,-1119,8042,f
1738609332.769813,0,-151,-40,500,-2332,8419,f
1738609332.7748249,-9,-123,-17,-602,-2817,8597,f
1738609332.7798321,0,87,81,-774,-975,8051,f
1738609332.783885,8,97,71,116,-153,7703,f
1738609332.787924,16,15,23,1001,105,7528,f
1738609332.791989,19,-105,-31,1148,-1735,8082,f
1738609332.797002,15,-160,-43,233,-2642,8424,f
1738609332.802015,9,-99,0,-960,-3117,8634,f
1738609332.8070369,10,28,64,-1312,-2331,8397,f
1738609332.811679,12,103,67,426,59,7489,f
1738609332.8157198,1,3,18,1251,-268,7560,f
1738609332.820024,-8,-105,-21,1051,-2155,8196,f
1738609332.825043,-23,-128,-16,-128,-2871,8502,f
1738609332.830053,-38,-38,33,-1192,-3155,8634,f
1738609332.835072,-34,80,82,-1214,-1702,8298,f
1738609332.8399098,-7,91,55,875,501,7586,f
1738609332.844924,0,-20,2,1428,-749,7985,f
1738609332.849066,1,-120,-31,724,-2516,8584,f
1738609332.854443,0,-100,-6,-620,-3128,8736,f
1738609332.862282,0,7,49,-1311,-2870,8614,f
1738609332.878504,0,7,49,-1311,-2870,8614,f
1738609332.884508,8,118,87,-902,-1014,8017,f
1738609332.889504,14,132,78,241,133,7584,f
1738609332.8945239,16,49,32,1266,316,7505,f
1738609332.8995059,-2,-137,-33,144,-2967,8523,f
1738609332.903643,-16,-69,1,-1065,-3360,8615,f
1738609332.907691,-18,61,62,-1347,-1929,8224,f
1738609332.911756,-10,131,81,-483,-245,7686,f
1738609332.9158552,-7,90,53,715,586,7410,f
1738609332.920875,-5,-33,-7,1479,-695,7826,f
1738609332.925899,-6,-144,-39,836,-2752,8451,f
1738609332.930922,-21,-135,-18,-558,-3295,8664,f
1738609332.935531,-17,98,95,-1010,-669,7912,f
1738609332.9395561,-6,109,87,217,402,7525,f
1738609332.943615,0,14,38,1380,263,7603,f
1738609332.947676,10,-112,-14,1382,-2272,8308,f
1738609332.951782,-5,-155,-24,128,-3201,8608,f
1738609332.955796,-18,-62,23,-1226,-3314,8703,f
1738609332.959815,-19,75,81,-1339,-1306,8095,f
1738609332.963837,-9,127,86,-356,192,7696,f
1738609332.96825,6,66,40,1037,734,7494,f
1738609332.9732711,20,-61,-28,1616,-1539,8205,f
1738609332.9782941,23,-135,-54,751,-3211,8576,f
1738609332.983312,3,-83,-33,-952,-3607,8792,f
1738609332.987607,7,141,53,-886,-91,7731,f
1738609332.9916549,19,113,22,675,832,7346,f
1738609332.9956968,20,-18,-43,1665,-778,7866,f
1738609332.99976,24,-123,-73,1158,-3117,8628,f
1738609333.003828,3,-110,-49,-543,-3731,8752,f
1738609333.0078468,-9,15,26,-1591,-2646,8471,f
1738609333.012871,-3,119,77,-1194,-314,7810,f
1738609333.017886,11,121,62,355,873,7354,f
1738609333.022899,10,1,5,1649,-93,7692,f
1738609333.027647,-3,-139,-24,-180,-3778,8752,f
1738609333.031709,-22,-19,45,-1580,-3052,8622,f
1738609333.035724,-21,104,99,-1417,-469,7819,f
1738609333.040742,-13,122,91,60,965,7408,f
1738609333.0457642,-4,15,28,1566,403,7623,f
1738609333.050296,2,-117,-26,1701,-2706,8596,f
1738609333.0553112,-4,-147,-18,92,-3865,8835,f
1738609333.059516,-23,98,95,-1598,-578,7918,f
1738609333.063691,-6,130,87,-165,1021,7435,f
1738609333.067894,7,25,23,1499,617,7513,f
1738609333.071933,13,-114,-43,1815,-2639,8532,f
1738609333.0760598,4,-158,-44,231,-3999,8879,f
1738609333.0800908,-12,-41,12,-1499,-3472,8680,f
1738609333.084509,-13,100,73,-1690,-562,7875,f
1738609333.0895329,12,149,72,-238,1134,7309,f
1738609333.094545,17,43,8,1562,676,7313,f
1738609333.099071,12,-106,-61,1846,-2766,8516,f
1738609333.103508,-16,-34,0,-1564,-3492,8621,f
1738609333.107838,-18,105,66,-1765,-354,7749,f
1738609333.111904,4,150,64,-204,1343,7282,f
1738609333.1169128,19,37,3,1689,517,7440,f
1738609333.1219342,18,-115,-58,1897,-3107,8645,f
1738609333.126956,1,-151,-50,125,-4436,9006,f
1738609333.131635,-16,118,88,-1757,61,7663,f
1738609333.1356878,3,144,80,-66,1668,7197,f
1738609333.1398149,19,16,8,1821,152,7661,f
1738609333.1438878,19,-133,-48,1881,-3586,8808,f
1738609333.1489,-1,-151,-36,-103,-4642,9118,f
1738609333.1539168,-18,-3,40,-1760,-2681,8544,f
1738609333.158945,-9,134,93,-1664,683,7588,f
1738609333.163771,37,-7,-12,2094,-656,7876,f
1738609333.1680808,29,-147,-64,1764,-4152,8925,f
1738609333.173093,-2,-126,-39,-437,-4758,9032,f
1738609333.17813,-23,37,38,-1961,-1782,8131,f
1738609333.182399,-12,158,80,-1478,1307,7292,f
1738609333.187412,33,-44,-38,2212,-2001,8203,f
1738609333.191666,14,-156,-77,1337,-4825,9012,f
1738609333.19597,-19,-91,-32,-989,-4557,8956,f
1738609333.200333,-28,82,50,-2129,-520,7795,f
1738609333.205353,-2,169,71,-1055,2001,7110,f
1738609333.2103739,29,84,13,1293,1358,7249,f
1738609333.215584,-2,-166,-86,738,-5300,9142,f
1738609333.2196748,-38,-50,-14,-1528,-3607,8719,f
1738609333.223729,-33,117,59,-2045,951,7406,f
1738609333.227765,1,155,52,-355,2604,6946,f
1738609333.23184,32,16,-20,1895,-159,7759,f
1738609333.236852,21,-151,-85,2032,-4761,9046,f
1738609333.2418728,-20,-153,-64,-107,-5470,9235,f
1738609333.2468941,-48,10,20,-1994,-1734,8146,f
1738609333.2514272,18,121,32,634,2511,6970,f
1738609333.255848,33,-58,-53,2353,-2598,8398,f
1738609333.2608728,-2,-175,-81,1328,-5730,9228,f
1738609333.2652512,-53,-99,-32,-1072,-4649,8999,f
1738609333.270276,-56,83,47,-2235,603,7576,f
1738609333.275221,-10,163,59,-783,3123,6871,f
1738609333.27981,24,-126,-77,2274,-4842,9027,f
1738609333.284823,-33,-158,-66,123,-5979,9413,f
1738609333.2898428,-65,-9,8,-1916,-2031,8366,f
1738609333.2948658,-31,144,62,-1957,2573,7182,f
1738609333.299878,48,-42,-47,2373,-2743,8591,f
1738609333.304179,12,-169,-74,1433,-6240,9466,f
1738609333.320044,-45,-83,-22,-1157,-4380,8996,f
1738609333.331748,-45,-83,-22,-1157,-4380,8996,f
1738609333.337773,16,165,53,-796,3646,6759,f
1738609333.342997,55,34,-17,1868,-340,7799,f
1738609333.3474932,40,-132,-75,2325,-5695,9355,f
1738609333.351645,-19,-139,-54,2,-6107,9435,f
1738609333.355677,-46,32,27,-2234,-467,7894,f
1738609333.3598442,6,165,65,-1903,3548,6860,f
1738609333.3639219,65,107,26,900,2149,7050,f
1738609333.368931,71,-82,-53,2546,-4697,9044,f
1738609333.3739562,17,-166,-62,1130,-6962,9649,f
1738609333.378979,-44,-40,6,-1498,-2907,8506,f
1738609333.3840141,35,149,60,-215,3855,6516,f
1738609333.389033,68,-4,-14,2224,-2180,8205,f
1738609333.394054,21,-161,-51,1960,-6995,9492,f
1738609333.399072,-65,-103,-8,-695,-5169,9123,f
1738609333.4040818,0,155,85,-1160,4460,6484,f
1738609333.409101,60,29,19,1665,-533,7850,f
1738609333.414119,41,-143,-39,2495,-6591,9529,f
1738609333.418206,-42,-151,-19,143,-6547,9596,f
1738609333.4232252,-76,24,60,-2263,549,7638,f
1738609333.4275892,66,68,35,965,1378,7341,f
1738609333.431657,66,-122,-34,2581,-6236,9481,f
1738609333.4357069,-9,-172,-40,878,-7634,9876,f
1738609333.43983,-70,-17,28,-1805,-1004,8048,f
1738609333.44484,-18,143,69,-2179,4764,6496,f
1738609333.4498491,68,107,29,313,3034,6858,f
1738609333.454863,90,-74,-52,2480,-5425,9170,f
1738609333.459533,-64,-36,-5,-1367,-2356,8321,f
1738609333.463613,-30,135,41,-2385,4508,6502,f
1738609333.467777,68,125,15,13,3624,6659,f
1738609333.471859,104,-44,-50,2356,-4778,8910,f
1738609333.4759061,18,-156,-63,1600,-8423,9882,f
1738609333.4809248,-80,-42,0,-1150,-2666,8361,f
1738609333.48595,-62,120,53,-2491,4474,6488,f
1738609333.490981,38,131,35,-340,4235,6491,f
1738609333.495989,6,-161,-45,1883,-8853,10008,f
1738609333.500312,-102,-66,13,-844,-3266,8527,f
1738609333.505332,-84,110,72,-2480,4854,6444,f
1738609333.510357,16,127,55,-595,4933,6388,f
1738609333.514519,71,-40,-11,2177,-4569,8922,f
