time,acc_x,acc_y,acc_z,gyro_pitch,gyro_yaw,gyro_roll,vibration_status,label,person_id
2025-01-08 14:00:17.557467,1,0,6,-2474,7718,1259,0,0,0
2025-01-08 14:00:17.558720,1,0,6,-2474,7718,1259,0,0,0
2025-01-08 14:00:17.559977,1,0,6,-2474,7718,1259,0,0,0
2025-01-08 14:00:17.561233,2,1,9,-2487,7728,1280,0,0,0
2025-01-08 14:00:17.562486,2,1,9,-2487,7728,1280,0,0,0
2025-01-08 14:00:17.563739,2,1,9,-2487,7728,1280,0,0,0
2025-01-08 14:00:17.564752,4,1,5,-2518,7739,1258,0,0,0
2025-01-08 14:00:17.566013,4,1,5,-2518,7739,1258,0,0,0
2025-01-08 14:00:17.567268,4,1,5,-2518,7739,1258,0,0,0
2025-01-08 14:00:17.568523,3,0,6,-2482,7736,1288,0,0,0
2025-01-08 14:00:17.569782,3,0,6,-2482,7736,1288,0,0,0
2025-01-08 14:00:17.571039,3,0,6,-2482,7736,1288,0,0,0
2025-01-08 14:00:17.572305,3,0,6,-2482,7736,1288,0,0,0
2025-01-08 14:00:17.573573,3,0,9,-2489,7730,1298,0,0,0
2025-01-08 14:00:17.574837,3,0,9,-2489,7730,1298,0,0,0
2025-01-08 14:00:17.576109,3,0,9,-2489,7730,1298,0,0,0
2025-01-08 14:00:17.577370,2,2,6,-2498,7740,1320,0,0,0
2025-01-08 14:00:17.578629,2,2,6,-2498,7740,1320,0,0,0
2025-01-08 14:00:17.579795,2,2,6,-2498,7740,1320,0,0,0
2025-01-08 14:00:17.581053,2,2,5,-2501,7718,1296,0,0,0
2025-01-08 14:00:17.582338,2,2,5,-2501,7718,1296,0,0,0
2025-01-08 14:00:17.583604,2,2,5,-2501,7718,1296,0,0,0
2025-01-08 14:00:17.584877,0,1,9,-2477,7728,1365,0,0,0
2025-01-08 14:00:17.586154,0,1,9,-2477,7728,1365,0,0,0
2025-01-08 14:00:17.587415,0,1,9,-2477,7728,1365,0,0,0
2025-01-08 14:00:17.588681,4,3,5,-2481,7723,1341,0,0,0
2025-01-08 14:00:17.589951,4,3,5,-2481,7723,1341,0,0,0
2025-01-08 14:00:17.591214,4,3,5,-2481,7723,1341,0,0,0
2025-01-08 14:00:17.592471,4,3,5,-2481,7723,1341,0,0,0
2025-01-08 14:00:17.593737,1,1,7,-2486,7705,1370,0,0,0
2025-01-08 14:00:17.595002,1,1,7,-2486,7705,1370,0,0,0
2025-01-08 14:00:17.596268,1,1,7,-2486,7705,1370,0,0,0
2025-01-08 14:00:17.597521,2,1,4,-2497,7690,1361,0,0,0
2025-01-08 14:00:17.598722,2,1,4,-2497,7690,1361,0,0,0
2025-01-08 14:00:17.599994,2,1,4,-2497,7690,1361,0,0,0
2025-01-08 14:00:17.601263,3,1,6,-2476,7720,1340,0,0,0
2025-01-08 14:00:17.602531,3,1,6,-2476,7720,1340,0,0,0
2025-01-08 14:00:17.603791,3,1,6,-2476,7720,1340,0,0,0
2025-01-08 14:00:17.605058,3,4,7,-2497,7749,1353,0,0,0
2025-01-08 14:00:17.606324,3,4,7,-2497,7749,1353,0,0,0
2025-01-08 14:00:17.607593,3,4,7,-2497,7749,1353,0,0,0
2025-01-08 14:00:17.608864,2,3,3,-2498,7719,1329,0,0,0
2025-01-08 14:00:17.610127,2,3,3,-2498,7719,1329,0,0,0
2025-01-08 14:00:17.611385,2,3,3,-2498,7719,1329,0,0,0
2025-01-08 14:00:17.612735,0,2,7,-2495,7741,1339,0,0,0
2025-01-08 14:00:17.614003,0,2,7,-2495,7741,1339,0,0,0
2025-01-08 14:00:17.615286,0,2,7,-2495,7741,1339,0,0,0
2025-01-08 14:00:17.616562,0,2,7,-2495,7741,1339,0,0,0
2025-01-08 14:00:17.617836,1,5,4,-2497,7717,1318,0,0,0
2025-01-08 14:00:17.619106,1,5,4,-2497,7717,1318,0,0,0
2025-01-08 14:00:17.620371,1,5,4,-2497,7717,1318,0,0,0
2025-01-08 14:00:17.621641,4,4,6,-2487,7705,1309,0,0,0
2025-01-08 14:00:17.622907,4,4,6,-2487,7705,1309,0,0,0
2025-01-08 14:00:17.624167,4,4,6,-2487,7705,1309,0,0,0
2025-01-08 14:00:17.625434,4,3,6,-2497,7724,1309,0,0,0
2025-01-08 14:00:17.626707,4,3,6,-2497,7724,1309,0,0,0
2025-01-08 14:00:17.627957,4,3,6,-2497,7724,1309,0,0,0
2025-01-08 14:00:17.629224,3,3,5,-2502,7719,1297,0,0,0
2025-01-08 14:00:17.630483,3,3,5,-2502,7719,1297,0,0,0
2025-01-08 14:00:17.631761,3,3,5,-2502,7719,1297,0,0,0
2025-01-08 14:00:17.633034,2,3,5,-2506,7729,1266,0,0,0
2025-01-08 14:00:17.634286,2,3,5,-2506,7729,1266,0,0,0
2025-01-08 14:00:17.635564,2,3,5,-2506,7729,1266,0,0,0
2025-01-08 14:00:17.636833,3,3,6,-2499,7712,1270,0,0,0
2025-01-08 14:00:17.638110,3,3,6,-2499,7712,1270,0,0,0
2025-01-08 14:00:17.639436,3,3,6,-2499,7712,1270,0,0,0
2025-01-08 14:00:17.640763,4,4,6,-2498,7699,1268,0,0,0
2025-01-08 14:00:17.642026,4,4,6,-2498,7699,1268,0,0,0
2025-01-08 14:00:17.643286,4,4,6,-2498,7699,1268,0,0,0
2025-01-08 14:00:17.644556,4,3,6,-2502,7736,1257,0,0,0
2025-01-08 14:00:17.645817,4,3,6,-2502,7736,1257,0,0,0
2025-01-08 14:00:17.647088,4,3,6,-2502,7736,1257,0,0,0
